[10/Sep/2015 02:49:41]"POST /get_saved_game/ HTTP/1.1" 200 608
[10/Sep/2015 02:49:41]"POST /get_saved_game/ HTTP/1.1" 200 608
[10/Sep/2015 02:49:41]"GET /favicon.ico HTTP/1.1" 404 3632
[10/Sep/2015 02:49:48]"GET / HTTP/1.1" 200 12795
[10/Sep/2015 02:49:48]"GET /static/images/thinkagain_logo.png HTTP/1.1" 200 5861
[10/Sep/2015 02:49:59]"POST /login/ HTTP/1.1" 200 21
[10/Sep/2015 02:50:00]"GET /game_menu/ HTTP/1.1" 200 2658
[10/Sep/2015 02:50:00]"GET /cgi-bin/get_problem_files.py/ HTTP/1.1" 200 200
[10/Sep/2015 02:50:03]"GET /game/ HTTP/1.1" 302 0
[10/Sep/2015 02:50:03]"GET /static/game/index_game.html HTTP/1.1" 200 11298
[10/Sep/2015 02:50:03]"GET /static/game/CSS/normalize.css HTTP/1.1" 200 7797
[10/Sep/2015 02:50:03]"GET /static/game/scripts/PieceManager.js?1.002 HTTP/1.1" 200 12297
[10/Sep/2015 02:50:03]"GET /static/game/scripts/ClausePiece.js?1.001 HTTP/1.1" 200 25365
[10/Sep/2015 02:50:03]"GET /static/game/scripts/BranchExplorer.js?1.0 HTTP/1.1" 200 7374
[10/Sep/2015 02:50:03]"GET /static/game/scripts/tutorial.js?1.002 HTTP/1.1" 200 6367
[10/Sep/2015 02:50:03]"GET /static/game/scripts/game.js?1.002 HTTP/1.1" 200 16773
[10/Sep/2015 02:50:03]"GET /static/game/images/menu_nav.png HTTP/1.1" 200 1247
[10/Sep/2015 02:50:04]"GET /static/game/images/bin.png HTTP/1.1" 200 7104
[10/Sep/2015 02:50:04]"GET /static/game/images/Close.png HTTP/1.1" 200 31448
[10/Sep/2015 02:50:04]"GET /static/game/images/pause.png HTTP/1.1" 200 4145
[10/Sep/2015 02:50:04]"GET /static/game/images/zoom_in.png HTTP/1.1" 200 37078
[10/Sep/2015 02:50:04]"GET /static/game/images/zoom_out.png HTTP/1.1" 200 34588
[10/Sep/2015 02:50:04]"GET /static/game/sounds/cheer.mp3 HTTP/1.1" 200 55632
[10/Sep/2015 02:50:04]"GET /static/game/sounds/bubble.wav HTTP/1.1" 200 112156
[10/Sep/2015 02:50:04]"POST /generate_problem/ HTTP/1.1" 200 214
[10/Sep/2015 02:50:04]"POST /get_saved_game/ HTTP/1.1" 200 608
[10/Sep/2015 02:50:04]"POST /get_saved_game/ HTTP/1.1" 200 608
[10/Sep/2015 02:50:08]"POST /save_step/ HTTP/1.1" 200 121
[10/Sep/2015 02:50:09]"POST /save_step/ HTTP/1.1" 200 124
[10/Sep/2015 02:50:16]"POST /get_saved_game/ HTTP/1.1" 200 851
[10/Sep/2015 02:50:16]"POST /get_saved_game/ HTTP/1.1" 200 851
[10/Sep/2015 02:50:29]"POST /save_step/ HTTP/1.1" 200 127
[10/Sep/2015 02:50:29]"POST /save_step/ HTTP/1.1" 200 123
[10/Sep/2015 02:50:30]"POST /save_step/ HTTP/1.1" 200 115
[10/Sep/2015 02:50:34]"POST /get_saved_game/ HTTP/1.1" 200 1212
[10/Sep/2015 02:50:34]"POST /get_saved_game/ HTTP/1.1" 200 1212
[10/Sep/2015 02:50:50]"POST /save_step/ HTTP/1.1" 200 127
[10/Sep/2015 02:50:51]"POST /save_step/ HTTP/1.1" 200 127
[10/Sep/2015 02:50:56]"POST /save_step/ HTTP/1.1" 200 128
[10/Sep/2015 02:50:57]"POST /save_step/ HTTP/1.1" 200 128
[10/Sep/2015 02:51:02]"POST /get_saved_game/ HTTP/1.1" 200 1714
[10/Sep/2015 02:51:02]"POST /get_saved_game/ HTTP/1.1" 200 1714
[10/Sep/2015 02:51:02]"POST /get_saved_game/ HTTP/1.1" 200 1714
[10/Sep/2015 02:51:02]"POST /get_saved_game/ HTTP/1.1" 200 1714
[10/Sep/2015 02:51:03]"POST /get_saved_game/ HTTP/1.1" 200 1714
[10/Sep/2015 02:51:03]"POST /get_saved_game/ HTTP/1.1" 200 1714
[10/Sep/2015 02:51:48]"POST /get_saved_game/ HTTP/1.1" 200 1714
[10/Sep/2015 02:51:48]"POST /get_saved_game/ HTTP/1.1" 200 1714
[10/Sep/2015 02:51:55]"POST /get_saved_game/ HTTP/1.1" 200 1714
[10/Sep/2015 02:51:55]"POST /get_saved_game/ HTTP/1.1" 200 1714
[10/Sep/2015 16:58:44]"GET / HTTP/1.1" 200 12795
[10/Sep/2015 16:58:44]"GET /static/images/thinkagain_logo.png HTTP/1.1" 200 5861
[10/Sep/2015 16:58:44]"GET /favicon.ico HTTP/1.1" 404 3632
[10/Sep/2015 16:58:51]"POST /login/ HTTP/1.1" 200 21
[10/Sep/2015 16:58:54]"POST /login/ HTTP/1.1" 200 21
[10/Sep/2015 16:59:00]"POST /login/ HTTP/1.1" 200 21
[10/Sep/2015 16:59:00]"GET /game_menu/ HTTP/1.1" 200 2658
[10/Sep/2015 16:59:00]"GET /cgi-bin/get_problem_files.py/ HTTP/1.1" 200 200
[10/Sep/2015 16:59:05]"GET /game_menu/ HTTP/1.1" 200 2658
[10/Sep/2015 16:59:05]"GET /cgi-bin/get_problem_files.py/ HTTP/1.1" 200 200
[10/Sep/2015 16:59:10]"GET /game/ HTTP/1.1" 302 0
[10/Sep/2015 16:59:10]"GET /static/game/index_game.html HTTP/1.1" 200 11298
[10/Sep/2015 16:59:10]"GET /static/game/scripts/BranchExplorer.js?1.0 HTTP/1.1" 200 7374
[10/Sep/2015 16:59:10]"GET /static/game/scripts/tutorial.js?1.002 HTTP/1.1" 200 6367
[10/Sep/2015 16:59:10]"GET /static/game/scripts/game.js?1.002 HTTP/1.1" 200 16773
[10/Sep/2015 16:59:10]"GET /static/game/scripts/PieceManager.js?1.002 HTTP/1.1" 200 12297
[10/Sep/2015 16:59:10]"GET /static/game/CSS/normalize.css HTTP/1.1" 200 7797
[10/Sep/2015 16:59:10]"GET /static/game/scripts/ClausePiece.js?1.001 HTTP/1.1" 200 25365
[10/Sep/2015 16:59:10]"GET /static/game/images/menu_nav.png HTTP/1.1" 200 1247
[10/Sep/2015 16:59:10]"GET /static/game/images/bin.png HTTP/1.1" 200 7104
[10/Sep/2015 16:59:10]"GET /static/game/images/Close.png HTTP/1.1" 200 31448
[10/Sep/2015 16:59:10]"GET /static/game/images/zoom_in.png HTTP/1.1" 200 37078
[10/Sep/2015 16:59:10]"GET /static/game/images/zoom_out.png HTTP/1.1" 200 34588
[10/Sep/2015 16:59:10]"GET /static/game/images/pause.png HTTP/1.1" 200 4145
[10/Sep/2015 16:59:10]"GET /static/game/sounds/cheer.mp3 HTTP/1.1" 200 55632
[10/Sep/2015 16:59:10]"GET /static/game/sounds/bubble.wav HTTP/1.1" 200 112156
[10/Sep/2015 16:59:10]"POST /generate_problem/ HTTP/1.1" 200 356
[10/Sep/2015 16:59:10]"POST /get_saved_game/ HTTP/1.1" 200 385
[10/Sep/2015 16:59:10]"POST /get_saved_game/ HTTP/1.1" 200 385
[10/Sep/2015 16:59:13]"GET /game/ HTTP/1.1" 302 0
[10/Sep/2015 16:59:13]"POST /generate_problem/ HTTP/1.1" 200 356
[10/Sep/2015 16:59:13]"POST /get_saved_game/ HTTP/1.1" 200 385
[10/Sep/2015 16:59:13]"POST /get_saved_game/ HTTP/1.1" 200 385
[10/Sep/2015 16:59:17]"POST /save_step/ HTTP/1.1" 200 126
[10/Sep/2015 16:59:20]"POST /get_saved_game/ HTTP/1.1" 200 508
[10/Sep/2015 16:59:20]"POST /get_saved_game/ HTTP/1.1" 200 508
[14/Sep/2015 17:49:43]"GET / HTTP/1.1" 200 12795
[14/Sep/2015 17:49:43]"GET /static/images/thinkagain_logo.png HTTP/1.1" 200 5861
[14/Sep/2015 17:49:43]"GET /favicon.ico HTTP/1.1" 404 3632
[14/Sep/2015 17:50:04]"GET /admin HTTP/1.1" 301 0
[14/Sep/2015 17:50:04]"GET /admin/ HTTP/1.1" 302 0
[14/Sep/2015 17:50:04]"GET /admin/login/?next=/admin/ HTTP/1.1" 200 1915
[14/Sep/2015 17:50:04]"GET /static/admin/css/base.css HTTP/1.1" 200 14049
[14/Sep/2015 17:50:04]"GET /static/admin/css/login.css HTTP/1.1" 200 940
[14/Sep/2015 17:50:05]"GET /static/admin/img/nav-bg.gif HTTP/1.1" 200 265
[14/Sep/2015 17:50:06]"GET /static/admin/img/nav-bg-reverse.gif HTTP/1.1" 200 178
[14/Sep/2015 17:50:07]"POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[14/Sep/2015 17:50:07]"GET /admin/ HTTP/1.1" 200 7034
[14/Sep/2015 17:50:07]"GET /static/admin/css/dashboard.css HTTP/1.1" 200 434
[14/Sep/2015 17:50:07]"GET /static/admin/img/default-bg.gif HTTP/1.1" 200 836
[14/Sep/2015 17:50:07]"GET /static/admin/img/icon_changelink.gif HTTP/1.1" 200 119
[14/Sep/2015 17:50:07]"GET /static/admin/img/icon_addlink.gif HTTP/1.1" 200 119
[14/Sep/2015 17:50:07]"GET /static/admin/img/icon_deletelink.gif HTTP/1.1" 200 181
[14/Sep/2015 17:50:22]"GET /admin/crowdsource_site/problem/ HTTP/1.1" 200 5543
[14/Sep/2015 17:50:22]"GET /static/admin/css/changelists.css HTTP/1.1" 200 5254
[14/Sep/2015 17:50:22]"GET /admin/jsi18n/ HTTP/1.1" 200 2372
[14/Sep/2015 17:50:22]"GET /static/admin/js/jquery.init.js HTTP/1.1" 200 326
[14/Sep/2015 17:50:22]"GET /static/admin/js/core.js HTTP/1.1" 200 7522
[14/Sep/2015 17:50:22]"GET /static/admin/js/jquery.js HTTP/1.1" 200 284184
[14/Sep/2015 17:50:22]"GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 4464
[14/Sep/2015 17:50:22]"GET /static/admin/js/actions.js HTTP/1.1" 200 4910
[14/Sep/2015 17:50:22]"GET /static/admin/img/tooltag-add.png HTTP/1.1" 200 119
[14/Sep/2015 17:50:25]"GET /admin/ HTTP/1.1" 200 7034
[14/Sep/2015 17:50:27]"GET /admin/crowdsource_site/problem/ HTTP/1.1" 200 5543
[14/Sep/2015 17:50:27]"GET /admin/jsi18n/ HTTP/1.1" 200 2372
[14/Sep/2015 17:50:31]"GET /admin/crowdsource_site/solution/ HTTP/1.1" 200 30886
[14/Sep/2015 17:50:31]"GET /admin/jsi18n/ HTTP/1.1" 200 2372
[14/Sep/2015 18:49:33]"GET / HTTP/1.1" 200 14234
[14/Sep/2015 18:49:33]"GET /favicon.ico HTTP/1.1" 404 3632
[14/Sep/2015 18:49:35]"GET / HTTP/1.1" 200 14234
[14/Sep/2015 18:55:50]"GET / HTTP/1.1" 200 14234
[14/Sep/2015 18:55:54]"GET /admin HTTP/1.1" 301 0
[14/Sep/2015 18:55:54]"GET /admin/ HTTP/1.1" 200 7034
[14/Sep/2015 18:55:57]"GET /admin/crowdsource_site/solution/ HTTP/1.1" 200 30886
[14/Sep/2015 18:55:57]"GET /admin/jsi18n/ HTTP/1.1" 200 2372
[14/Sep/2015 18:55:58]"GET /admin/crowdsource_site/solution/303/ HTTP/1.1" 200 13161
[14/Sep/2015 18:55:58]"GET /static/admin/css/forms.css HTTP/1.1" 200 6266
[14/Sep/2015 18:55:59]"GET /admin/jsi18n/ HTTP/1.1" 200 2372
[14/Sep/2015 18:55:59]"GET /static/admin/js/related-widget-wrapper.js HTTP/1.1" 200 857
[14/Sep/2015 18:55:59]"GET /static/admin/css/widgets.css HTTP/1.1" 200 10430
[14/Sep/2015 19:54:12]"GET / HTTP/1.1" 200 12795
[14/Sep/2015 19:54:14]"GET /static/images/thinkagain_logo.png HTTP/1.1" 200 5861
[14/Sep/2015 19:54:14]"GET /favicon.ico HTTP/1.1" 404 3632
[14/Sep/2015 19:54:14]"GET /favicon.ico HTTP/1.1" 404 3632
[14/Sep/2015 19:54:22]"GET / HTTP/1.1" 200 12795
[14/Sep/2015 19:54:22]"GET /static/images/thinkagain_logo.png HTTP/1.1" 200 5861
[14/Sep/2015 19:54:22]"GET /favicon.ico HTTP/1.1" 404 3632
[14/Sep/2015 19:54:22]"GET /favicon.ico HTTP/1.1" 404 3632
[14/Sep/2015 19:54:32]"GET / HTTP/1.1" 200 12795
[14/Sep/2015 19:54:37]"GET /static/images/thinkagain_logo.png HTTP/1.1" 200 5861
[14/Sep/2015 19:54:38]"GET /favicon.ico HTTP/1.1" 404 3632
[14/Sep/2015 19:54:59]"POST /login/ HTTP/1.1" 200 21
[14/Sep/2015 19:55:23]"POST /register/ HTTP/1.1" 200 21
[14/Sep/2015 19:55:25]"POST /register/ HTTP/1.1" 200 26
[14/Sep/2015 19:55:28]"POST /register/ HTTP/1.1" 200 21
[14/Sep/2015 19:55:29]"POST /register/ HTTP/1.1" 200 21
